instrument,granularity,time,open,high,low,close,volume
EUR_USD,H1,2026-05-26T21:00:00.000000000Z,1.16286,1.16324,1.16276,1.16308,3699
EUR_USD,H1,2026-05-26T22:00:00.000000000Z,1.1631,1.16338,1.1631,1.16335,1120
EUR_USD,H1,2026-05-26T23:00:00.000000000Z,1.16334,1.16399,1.16334,1.16366,769
EUR_USD,H1,2026-05-27T00:00:00.000000000Z,1.16365,1.16406,1.1636,1.16381,3228
EUR_USD,H1,2026-05-27T01:00:00.000000000Z,1.1638,1.16394,1.16327,1.1634,3430
EUR_USD,H1,2026-05-27T02:00:00.000000000Z,1.1634,1.16386,1.1634,1.16384,2957
EUR_USD,H1,2026-05-27T03:00:00.000000000Z,1.16385,1.16426,1.16369,1.16388,1983
EUR_USD,H1,2026-05-27T04:00:00.000000000Z,1.16388,1.16424,1.16384,1.16413,1588
EUR_USD,H1,2026-05-27T05:00:00.000000000Z,1.16412,1.16446,1.16388,1.16395,2663
EUR_USD,H1,2026-05-27T06:00:00.000000000Z,1.16396,1.16494,1.16374,1.16456,4849
EUR_USD,H1,2026-05-27T07:00:00.000000000Z,1.16458,1.1649,1.16402,1.16405,4851
EUR_USD,H1,2026-05-27T08:00:00.000000000Z,1.16406,1.16472,1.16384,1.1645,4372
EUR_USD,H1,2026-05-27T09:00:00.000000000Z,1.16448,1.16486,1.16426,1.16446,3655
EUR_USD,H1,2026-05-27T10:00:00.000000000Z,1.16446,1.16448,1.16361,1.16392,4224
EUR_USD,H1,2026-05-27T11:00:00.000000000Z,1.16394,1.16419,1.1633,1.16376,5544
EUR_USD,H1,2026-05-27T12:00:00.000000000Z,1.16377,1.16615,1.16346,1.1644,16478
EUR_USD,H1,2026-05-27T13:00:00.000000000Z,1.16439,1.16482,1.16377,1.16414,12029
EUR_USD,H1,2026-05-27T14:00:00.000000000Z,1.16414,1.16523,1.16249,1.16256,14316
EUR_USD,H1,2026-05-27T15:00:00.000000000Z,1.16255,1.16364,1.16225,1.16302,9417
EUR_USD,H1,2026-05-27T16:00:00.000000000Z,1.16305,1.16328,1.16242,1.16324,4878
EUR_USD,H1,2026-05-27T17:00:00.000000000Z,1.16324,1.1633,1.16222,1.16272,4547
EUR_USD,H1,2026-05-27T18:00:00.000000000Z,1.16272,1.16304,1.16226,1.16294,2960
EUR_USD,H1,2026-05-27T19:00:00.000000000Z,1.16294,1.1632,1.16268,1.16288,2375
